"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81752";"JARAGUÁ DO SUL";"81752";"JARAGUÁ DO SUL";"17";"13";"Vereador";"Coligação";"23";"PPS";"Partido Popular Socialista";"240000000638";"PARA CUIDAR DE JARAGUÁ";"PSC / PROS / PPS";"N";"593";"31"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81833";"LAGES";"81833";"LAGES";"104";"13";"Vereador";"Coligação";"43";"PV";"Partido Verde";"240000000565";"PROJETO VITÓRIA";"PTN / PRP / SD / PV / PC do B";"N";"3";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81833";"LAGES";"81833";"LAGES";"21";"13";"Vereador";"Coligação";"43";"PV";"Partido Verde";"240000000565";"PROJETO VITÓRIA";"PTN / PRP / SD / PV / PC do B";"N";"66";"1"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81892";"LAURO MÜLLER";"81892";"LAURO MÜLLER";"23";"13";"Vereador";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"240000000880";"Um Novo Tempo Para Lauro Muller";"PMDB / PDT / PSD / PSC";"N";"0";"16"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81019";"ERVAL VELHO";"81019";"ERVAL VELHO";"85";"13";"Vereador";"Coligação";"25";"DEM";"Democratas";"240000000520";"¨ ERVAL VELHO NO CAMINHO CERTO ";"PMDB / DEM / PSDB";"N";"266";"8"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80551";"BRUSQUE";"80551";"BRUSQUE";"86";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"240000000872";"PARTIDO ISOLADO";"PSB";"N";"3810";"536"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80659";"CAMPO BELO DO SUL";"80659";"CAMPO BELO DO SUL";"52";"11";"Prefeito";"Coligação";"11";"PP";"Partido Progressista";"240000001185";"Experiência Trabalho e Renovação";"PP / PDT / PT / PSB / PSDB";"N";"2469";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80152";"ANCHIETA";"80152";"ANCHIETA";"82";"11";"Prefeito";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000974";"Anchieta Unida Para Mudar";"PT / PP / PR";"N";"2493";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80977";"DIONÍSIO CERQUEIRA";"80977";"DIONÍSIO CERQUEIRA";"50";"13";"Vereador";"Coligação";"22";"PR";"Partido da República";"240000000346";"PR-PDT-PP [Dionísio Cerqueira]";"PR / PP / PDT";"N";"687";"13"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81230";"GUABIRUBA";"81230";"GUABIRUBA";"5";"13";"Vereador";"Coligação";"25";"DEM";"Democratas";"240000001007";"Guabiruba pelo povo";"DEM / PMDB / PSDB";"N";"1520";"15"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82350";"PALMA SOLA";"82350";"PALMA SOLA";"50";"13";"Vereador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000862";"Campo e Cidade Trabalho Com Igualdade";"PT / PMDB / PSDB / PSD";"N";"631";"8"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81116";"GOVERNADOR CELSO RAMOS";"81116";"GOVERNADOR CELSO RAMOS";"2";"11";"Prefeito";"Coligação";"55";"PSD";"Partido Social Democrático";"240000000494";"GOVERNADOR CELSO RAMOS NÃO PODE PARAR";"DEM / PSD / PRB / PRP / PDT / PR / PSDB / PPS";"N";"6874";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83313";"SÃO JOSÉ DO CERRITO";"83313";"SÃO JOSÉ DO CERRITO";"104";"13";"Vereador";"Coligação";"43";"PV";"Partido Verde";"240000000335";"Cerrito não pode parar";"PSD / PMDB / DEM / PTB / PP / PPS / PV / PSB";"N";"0";"0"
